상품,가격,위치
자이언트 익스프레스웨이 2 접이식 자전거,"50,000원",경기도 고양시 일산동구 식사동
신일 제습기,"40,000원",경남 창원시 성산구 안민동
캘러웨이 골프백,"10,000원",서울 영등포구 문래동
이케바나 화병 (새상품),"50,000원",서울 서초구 반포1동
3단선반 입니다,1원,경남 김해시 장유2동
전자레인지,"20,000원",서울 성북구 동선동
자전거 팔아요 Stacato 650b ,"50,000원",서울 영등포구 양평제2동
일렉트로룩스 전자레인지,"20,000원",서울 송파구 석촌동
제습기팝니다,"30,000원",서울 동대문구 청량리동
LG 34 울트라와이드 모니터 팝니다,"50,000원",경기도 의왕시 왕곡동
갤럭시 노트10+ 화이트 256GB,"250,000원",경기도 수원시 권선구 서둔동
MTB 메리다 빅세븐 20D 자전거 팝니다,"250,000원",경기도 고양시 일산서구 탄현동
실내자전거(엑스바이크) 드림 합니다.,무료나눔,경남 거제시 연초면
이케아 철제 4단 선반,"3,000원",경남 김해시 내외동
콘테이너,"200,000원",충북 청주시 서원구 모충동
삼성 310L김치냉장고 스탠드,"100,000원",부산 부산진구 양정제2동
커블체어 포장만 뜯은 새상품15000,"15,000원",부산 부산진구 연지동
쌀 20키로  있습니다,"35,000원",경기도 화성시 동탄3동
이케아 둑티그 주방놀이 싱크대,"20,000원",경기도 파주시 야당동
헹거,"5,000원",광주 남구 방림동
선반 다이,"15,000원",대구 달서구 상인2동
전자레인지,"5,000원",대구 수성구 지산동
26인치 자전거 팝니다.,"80,000원",경기도 고양시 일산동구 장항2동
삼성 전자렌지 팔아요 ,"15,000원",대구 북구 복현동
냉장고 판매 138리터,"50,000원",경남 통영시 북신동
전자레인지,"10,000원",경북 구미시 인동동
전자레인지 급하게 처분합니다,"10,000원",충남 천안시 서북구 두정동
삼성 제습기 팔아요,"20,000원",부산 사상구 주례제2동
철제 서랍장,"10,000원",경남 김해시 장유1동
전자레인지,"30,000원",울산 중구 태화동
"버버리 트렌치 자켓, 버버리 퀼팅자켓, 미니로디니 점퍼","20,000원",서울 강남구 도곡동
전자레인지 만원에 팝니다,"10,000원",서울 동대문구 휘경동
라탄협탁 ,"30,000원",경기도 남양주시 와부읍
라탄서랍장,"30,000원",경남 진주시 하대동
우리문학책시루 52권전집,"45,000원",경기도 용인시 수지구 신봉동
냉장고판매,"50,000원",경기도 수원시 권선구 곡선동
냉동고,"200,000원",제주 서귀포시 대정읍
위닉스 제습기,"130,000원",제주 서귀포시 서호동
자전거 팔아요~,-,경기도 화성시 동탄2동
시골 쌀 10kg,"10,000원",부산 사하구 하단제2동
빨래건조대 드림,무료나눔,경북 포항시 남구 지곡동
발뮤다 토스터기(화이트),"100,000원",서울 서초구 반포본동
자전거 이사정리,"5,000원",경기도 평택시 신평동
쿠쿠 제습기,"70,000원",경기도 고양시 일산서구 가좌동
몽클레어 경량파카 사이즈0,"90,000원",서울 강남구 삼성1동
자전거 MTB 팝니다 엘파마 급처,"150,000원",인천 부평구 십정동
슈퍼싱글침대(새상품) 판매해요,"100,000원",제주 제주시 노형동
도레미곰,"150,000원",서울 서대문구 연희동
골든구스 남선42,"50,000원",제주 제주시 아라동
이동식에어컨팝니다.,"50,000원",울산 남구 신정4동
플리츠플리즈 베이직라인 스카프,"40,000원",경기도 성남시 분당구 정자동
바퀴달린 선반,"3,000원",서울 서대문구 연희동
캠핑 피크닉 접이식 미니 테이블 ,"5,000원",부산 부산진구 당감동
서랍장. 장식장. ,"30,000원",광주 광산구 신창동
삼성 전자렌지 팔아요ㅎㅎ,"30,000원",전남 나주시 빛가람동
삼천리  26인치  자전거,"60,000원",충북 청주시 서원구 수곡2동
콜맨 캠핑 체어 ,"10,000원",서울 동작구 상도제2동
대우 냉장고,"100,000원",대구 달서구 상인2동
노트북,"60,000원",서울 영등포구 신길제7동
아우디 골프백 5만,"50,000원",경기도 하남시 덕풍3동
루이비통 에삐,"50,000원",서울 강남구 삼성동
원목 철제 선반,"30,000원",경북 포항시 북구 흥해읍
엔틱 콘솔,"30,000원",대구 수성구 수성2.3가동
이케아 철제 수납장,"15,000원",부산 강서구 명지동
엑스바이크 실내자전거운동~^^,"20,000원",경기도 안산시 상록구 사동
에어컨,"200,000원",경남 진주시 하대동
자전거 싸게 팝니다!,"50,000원",경기도 안양시 만안구 안양동
스토케 트립트램,"20,000원",서울 서초구 반포본동
자전거,"50,000원",경기도 구리시 교문1동
에이모션 anm 3단 폴딩 미니벨로 자전거,"80,000원",전북 전주시 덕진구 혁신동
DIOS 김치 냉장고 스탠드형 팝니다.,"200,000원",전북 군산시 나운1동
이케아 철제 선반 팝니다,"5,000원",경기도 수원시 영통구 광교1동
테팔후라이팬,"8,000원",인천 부평구 갈산동
캠핑용 쉘프,"30,000원",울산 중구 성안동
전자렌지 팔아요,"5,000원",서울 중랑구 면목제3.8동
마샬 액톤 2(크림) 블루투스 스피커 판매합니다,"300,000원",서울 강서구 화곡제4동
책상 무료드림,-,강원도 강릉시 노암동
철티비 자전거 팝니다,"30,000원",서울 영등포구 양평제2동
컴퓨터 본체입니다. ,"30,000원",서울 서초구 반포동
성인남자 자전거,"150,000원",경기도 용인시 수지구 성복동
이케아 철제 선반 🦭,"10,000원",부산 수영구 광안동
이케아 철제선반,무료나눔,대구 중구 동인동
여성자전거,"55,000원",경기도 파주시 야당동
LG 클래식TV,"100,000원",충남 서산시 동문동
제빵틀 무료드림,무료나눔,경기도 부천시 중동
원목 전신 거울,"15,000원",강원도 원주시 단계동
깨끗한 대우 냉장고 팝니다,"100,000원",부산 부산진구 개금제2동
구찌 마몬트 가방,"250,000원",서울 강동구 길동
자전거 (전시수준),"100,000원",대전 중구 문화1동
레트로 전자렌지,"10,000원",부산 수영구 광안제2동
전자레인지 판매 (상태좋음),"20,000원",서울 강동구 암사제2동
삼천리자전거 24인치  21단기어 몇번 안탔어요,"90,000원",인천 남동구 논현동
서핑보드 판매,"120,000원",제주 서귀포시 강정동
프라다 가방~,"85,000원",서울 서초구 반포본동
